"i","j","x"
6704,6,1
6711,6,1
6734,6,1
6736,6,1
6737,6,1
6741,6,1
6742,6,1
6744,6,1
6763,6,1
6766,6,1
6774,6,1
6775,6,1
6792,6,1
6807,6,1
6808,6,1
6820,6,1
6828,6,1
6835,6,1
6841,6,1
6845,6,1
6849,6,1
6851,6,1
6853,6,1
6855,6,1
6870,6,1
6877,6,1
6880,6,1
6885,6,1
6901,6,1
6906,6,1
6907,6,1
6921,6,1
6922,6,1
6924,6,1
6930,6,1
6937,6,1
6948,6,1
6973,6,1
6980,6,1
6982,6,1
6984,6,1
6986,6,1
6989,6,1
6990,6,1
7007,6,1
7015,6,1
7031,6,1
7036,6,1
7053,6,1
7058,6,1
7072,6,1
7094,6,1
7103,6,1
7111,6,1
7129,6,1
7133,6,1
7146,6,1
7147,6,1
7152,6,1
7158,6,1
7180,6,1
7181,6,1
7184,6,1
7186,6,1
7213,6,1
7217,6,1
7226,6,1
7238,6,1
7256,6,1
7257,6,1
7267,6,1
7274,6,1
7285,6,1
7314,6,1
7315,6,1
7316,6,1
7319,6,1
7323,6,1
7332,6,1
7335,6,1
7337,6,1
7341,6,1
7343,6,1
7349,6,1
7371,6,1
7383,6,1
7385,6,1
7388,6,1
7398,6,1
7399,6,1
7400,6,1
7417,6,1
7420,6,1
7426,6,1
7431,6,1
7440,6,1
7444,6,1
7450,6,1
7454,6,1
7459,6,1
7469,6,1
7475,6,1
7477,6,1
7500,6,1
7502,6,1
7513,6,1
7528,6,1
7534,6,1
7554,6,1
7561,6,1
7564,6,1
7575,6,1
7588,6,1
7595,6,1
7596,6,1
7608,6,1
7609,6,1
7613,6,1
7622,6,1
7624,6,1
7630,6,1
7647,6,1
7654,6,1
7663,6,1
7687,6,1
7688,6,1
7695,6,1
7697,6,1
7701,6,1
7702,6,1
7749,6,1
7753,6,1
7760,6,1
7762,6,1
7766,6,1
7769,6,1
7773,6,1
7777,6,1
7784,6,1
7787,6,1
7811,6,1
7834,6,1
7835,6,1
7838,6,1
7839,6,1
7846,6,1
7869,6,1
7876,6,1
7881,6,1
7890,6,1
7891,6,1
7892,6,1
7905,6,1
7908,6,1
7912,6,1
7913,6,1
7932,6,1
7933,6,1
7942,6,1
7947,6,1
7949,6,1
7951,6,1
7967,6,1
7983,6,1
7996,6,1
8020,6,1
16,7,1
26,7,1
32,7,1
40,7,1
43,7,1
53,7,1
55,7,1
71,7,1
77,7,1
96,7,1
98,7,1
112,7,1
125,7,1
141,7,1
166,7,1
171,7,1
180,7,1
181,7,1
182,7,1
191,7,1
242,7,1
266,7,1
274,7,1
277,7,1
278,7,1
285,7,1
305,7,1
310,7,1
317,7,1
318,7,1
320,7,1
325,7,1
327,7,1
336,7,1
338,7,1
360,7,1
378,7,1
381,7,1
384,7,1
390,7,1
404,7,1
410,7,1
420,7,1
431,7,1
433,7,1
434,7,1
482,7,1
505,7,1
525,7,1
527,7,1
544,7,1
555,7,1
561,7,1
569,7,1
572,7,1
606,7,1
611,7,1
618,7,1
623,7,1
646,7,1
655,7,1
656,7,1
663,7,1
679,7,1
685,7,1
697,7,1
709,7,1
717,7,1
726,7,1
742,7,1
753,7,1
761,7,1
773,7,1
776,7,1
780,7,1
781,7,1
787,7,1
789,7,1
821,7,1
827,7,1
846,7,1
853,7,1
886,7,1
888,7,1
927,7,1
972,7,1
998,7,1
1016,7,1
1020,7,1
1032,7,1
1056,7,1
1069,7,1
1082,7,1
1118,7,1
1128,7,1
1130,7,1
1142,7,1
1147,7,1
1175,7,1
1181,7,1
1195,7,1
1214,7,1
1225,7,1
1232,7,1
1234,7,1
1255,7,1
1263,7,1
1281,7,1
1286,7,1
1300,7,1
1326,7,1
1345,7,1
1376,7,1
1380,7,1
1387,7,1
1389,7,1
1412,7,1
1416,7,1
1479,7,1
1487,7,1
1493,7,1
1494,7,1
1509,7,1
1517,7,1
1528,7,1
1552,7,1
1566,7,1
1588,7,1
1592,7,1
1612,7,1
1614,7,1
1616,7,1
1687,7,1
1714,7,1
1717,7,1
1739,7,1
1794,7,1
1796,7,1
1821,7,1
1823,7,1
1832,7,1
1882,7,1
1894,7,1
1903,7,1
1963,7,1
1967,7,1
1971,7,1
1975,7,1
1998,7,1
2005,7,1
2032,7,1
2042,7,1
2053,7,1
2060,7,1
2070,7,1
2084,7,1
2089,7,1
2113,7,1
2130,7,1
2135,7,1
2143,7,1
2145,7,1
2150,7,1
2166,7,1
2172,7,1
2173,7,1
2183,7,1
2205,7,1
2212,7,1
2220,7,1
2222,7,1
2227,7,1
2238,7,1
2260,7,1
2266,7,1
2278,7,1
2287,7,1
2297,7,1
2341,7,1
2357,7,1
2358,7,1
2367,7,1
2389,7,1
2405,7,1
2412,7,1
2426,7,1
2451,7,1
2483,7,1
2487,7,1
2490,7,1
2491,7,1
2498,7,1
2510,7,1
2523,7,1
2532,7,1
2546,7,1
2589,7,1
2636,7,1
2638,7,1
2641,7,1
2660,7,1
2726,7,1
2728,7,1
2735,7,1
2748,7,1
2749,7,1
2754,7,1
2762,7,1
2772,7,1
2775,7,1
2807,7,1
2822,7,1
2831,7,1
2835,7,1
2839,7,1
2882,7,1
2891,7,1
2900,7,1
2905,7,1
2907,7,1
2915,7,1
2919,7,1
2920,7,1
2970,7,1
2980,7,1
2989,7,1
2997,7,1
3002,7,1
3008,7,1
3014,7,1
3033,7,1
3038,7,1
3039,7,1
3045,7,1
3085,7,1
3089,7,1
3099,7,1
3112,7,1
3179,7,1
3184,7,1
3201,7,1
3211,7,1
3215,7,1
3261,7,1
3271,7,1
3280,7,1
3302,7,1
3315,7,1
3322,7,1
3327,7,1
3337,7,1
3438,7,1
3445,7,1
3456,7,1
3468,7,1
3492,7,1
3508,7,1
3518,7,1
3525,7,1
3541,7,1
3547,7,1
3548,7,1
3553,7,1
3579,7,1
3580,7,1
3582,7,1
3587,7,1
3592,7,1
3599,7,1
3624,7,1
3631,7,1
3672,7,1
3675,7,1
3685,7,1
3696,7,1
3730,7,1
3751,7,1
3755,7,1
3760,7,1
3774,7,1
3815,7,1
3817,7,1
3828,7,1
3873,7,1
3875,7,1
3887,7,1
3905,7,1
3923,7,1
3950,7,1
3953,7,1
3961,7,1
3968,7,1
3972,7,1
3991,7,1
3992,7,1
3993,7,1
4000,7,1
4004,7,1
4026,7,1
4043,7,1
4081,7,1
4088,7,1
4098,7,1
4137,7,1
4139,7,1
4194,7,1
4206,7,1
4217,7,1
4228,7,1
4252,7,1
4256,7,1
4263,7,1
4268,7,1
4283,7,1
4285,7,1
4286,7,1
4288,7,1
4289,7,1
4336,7,1
4338,7,1
4347,7,1
4350,7,1
4353,7,1
4354,7,1
4370,7,1
4386,7,1
4391,7,1
4393,7,1
4399,7,1
4410,7,1
4417,7,1
4425,7,1
4427,7,1
4435,7,1
4451,7,1
4462,7,1
4486,7,1
4494,7,1
4505,7,1
4509,7,1
4525,7,1
4531,7,1
4532,7,1
4544,7,1
4556,7,1
4575,7,1
4613,7,1
4629,7,1
4635,7,1
4647,7,1
4659,7,1
4694,7,1
4705,7,1
4718,7,1
4723,7,1
4743,7,1
4751,7,1
4752,7,1
4754,7,1
4765,7,1
4782,7,1
4802,7,1
4806,7,1
4807,7,1
4815,7,1
4822,7,1
4823,7,1
4840,7,1
4845,7,1
4863,7,1
4870,7,1
4886,7,1
4888,7,1
4903,7,1
4906,7,1
4920,7,1
4941,7,1
4956,7,1
4976,7,1
4987,7,1
5010,7,1
5038,7,1
5040,7,1
5048,7,1
5049,7,1
5073,7,1
5088,7,1
5105,7,1
5175,7,1
5182,7,1
5222,7,1
5227,7,1
5240,7,1
5241,7,1
5256,7,1
5264,7,1
5281,7,1
5286,7,1
5313,7,1
5314,7,1
5330,7,1
5331,7,1
5340,7,1
5356,7,1
5369,7,1
5382,7,1
5385,7,1
5387,7,1
5389,7,1
5405,7,1
5427,7,1
5430,7,1
5438,7,1
5440,7,1
5467,7,1
5468,7,1
5475,7,1
5476,7,1
5477,7,1
5494,7,1
5508,7,1
5509,7,1
5512,7,1
5514,7,1
5563,7,1
5569,7,1
5575,7,1
5588,7,1
5598,7,1
5624,7,1
5632,7,1
5640,7,1
5651,7,1
5672,7,1
5677,7,1
5686,7,1
5696,7,1
5698,7,1
5700,7,1
5709,7,1
5715,7,1
5728,7,1
5736,7,1
5755,7,1
5783,7,1
5787,7,1
5800,7,1
5803,7,1
5804,7,1
5812,7,1
5814,7,1
5829,7,1
5850,7,1
5851,7,1
5854,7,1
5865,7,1
5869,7,1
5883,7,1
5889,7,1
5899,7,1
5903,7,1
5909,7,1
5930,7,1
5931,7,1
5958,7,1
5963,7,1
5973,7,1
6018,7,1
6020,7,1
6022,7,1
6028,7,1
6033,7,1
6035,7,1
6056,7,1
6088,7,1
6117,7,1
6154,7,1
6156,7,1
6171,7,1
6180,7,1
6181,7,1
6186,7,1
6224,7,1
6226,7,1
6235,7,1
6246,7,1
6260,7,1
6262,7,1
6283,7,1
6284,7,1
6309,7,1
6321,7,1
6395,7,1
6420,7,1
6457,7,1
6460,7,1
6466,7,1
6487,7,1
6506,7,1
6507,7,1
6552,7,1
6564,7,1
6575,7,1
6592,7,1
6595,7,1
6602,7,1
6643,7,1
6651,7,1
6701,7,1
6715,7,1
6756,7,1
6775,7,1
6776,7,1
6787,7,1
6790,7,1
6798,7,1
6801,7,1
6803,7,1
6818,7,1
6819,7,1
6822,7,1
6824,7,1
6834,7,1
6843,7,1
6845,7,1
6868,7,1
6873,7,1
6896,7,1
6901,7,1
6925,7,1
6942,7,1
6949,7,1
7026,7,1
7042,7,1
7071,7,1
7077,7,1
7078,7,1
7082,7,1
7083,7,1
7085,7,1
7100,7,1
7106,7,1
7107,7,1
7110,7,1
7123,7,1
7130,7,1
7132,7,1
7134,7,1
7136,7,1
7156,7,1
7168,7,1
7183,7,1
7196,7,1
7204,7,1
7263,7,1
7270,7,1
7288,7,1
7290,7,1
7308,7,1
7318,7,1
7320,7,1
7324,7,1
7325,7,1
7327,7,1
7365,7,1
7386,7,1
7395,7,1
7410,7,1
7436,7,1
7447,7,1
7466,7,1
7476,7,1
7485,7,1
7498,7,1
7511,7,1
7526,7,1
7544,7,1
7559,7,1
7570,7,1
7577,7,1
7582,7,1
7584,7,1
7592,7,1
7598,7,1
7632,7,1
7655,7,1
7665,7,1
7685,7,1
7694,7,1
7700,7,1
7710,7,1
7721,7,1
7735,7,1
7751,7,1
7758,7,1
7759,7,1
7764,7,1
7791,7,1
7835,7,1
7868,7,1
7878,7,1
7885,7,1
7911,7,1
7952,7,1
7960,7,1
7969,7,1
7990,7,1
7997,7,1
7998,7,1
8006,7,1
8008,7,1
8021,7,1
803,8,1
1738,8,1
1852,8,1
2486,8,1
2610,8,1
3607,8,1
4038,8,1
4506,8,1
4534,8,1
5373,8,1
5871,8,1
5902,8,1
6476,8,1
6987,8,1
7718,8,1
352,9,1
584,9,1
707,9,1
2454,9,1
3379,9,1
3466,9,1
3610,9,1
3782,9,1
3936,9,1
4013,9,1
4831,9,1
5324,9,1
5710,9,1
6641,9,1
6700,9,1
6782,9,1
7150,9,1
7165,9,1
546,10,1
704,10,1
826,10,1
891,10,1
1398,10,1
1863,10,1
2586,10,1
2600,10,1
2611,10,1
2941,10,1
3380,10,1
3642,10,1
4625,10,1
4750,10,1
4777,10,1
4864,10,1
5746,10,1
5774,10,1
5901,10,1
6498,10,1
6535,10,1
6985,10,1
7369,10,1
7507,10,1
7546,10,1
7614,10,1
11,11,1
131,11,1
164,11,1
333,11,1
424,11,1
603,11,1
1076,11,1
1137,11,1
1259,11,1
1757,11,1
1827,11,1
2003,11,1
2101,11,1
2164,11,1
2177,11,1
2534,11,1
2700,11,1
2810,11,1
3974,11,1
4028,11,1
4208,11,1
4405,11,1
4449,11,1
5360,11,1
5493,11,1
5536,11,1
6268,11,1
6652,11,1
6769,11,1
7219,11,1
7556,11,1
7689,11,1
7728,11,1
1,12,1
43,12,1
79,12,1
92,12,1
111,12,1
120,12,1
123,12,1
163,12,1
191,12,1
204,12,1
225,12,1
307,12,1
317,12,1
376,12,1
404,12,1
406,12,1
408,12,1
413,12,1
524,12,1
526,12,1
529,12,1
535,12,1
546,12,1
553,12,1
579,12,1
590,12,1
625,12,1
628,12,1
645,12,1
656,12,1
704,12,1
751,12,1
769,12,1
781,12,1
801,12,1
826,12,1
834,12,1
845,12,1
891,12,1
905,12,1
910,12,1
