item,description,week,price,units
84,MIKES SEASONAL 6PK                  ,00,8.99,2
58,MILLER LITE 12/12 OZ NR             ,00,11.99,1
57,MILLER LITE 18PK CAN                ,00,17.99,1
199,MODELO ESPECIAL 24 CAN              ,00,2.39,1
201,NEGROMODELO 6PK                     ,00,8.89,1
154,NEW BELGIUM FAT TIRE AMBER 6PK      ,00,7.99,4
159,NEW BELGIUM RAMPANT 6PK             ,00,7.99,2
157,NEW BELGIUM RANGER IPA 6PK          ,00,7.99,2
158,NEW BELGIUM SEASONAL 6PK            ,00,7.99,2
156,NEW BELGIUM TRIPPEL 6/12 OZ         ,00,7.99,1
327,NINKASI DOMINATION 22OZ             ,00,3.99,1
329,NINKASI TTL DOM IPA 6PK             ,00,9.39,2
337,NOT YOUR FATHERS ROOT BEER 6PK      ,00,11.99,1
142,OLD RASPUTIN STOUT 4/12 OZ          ,00,8.39,2
42,PABST 12PK                          ,00,9.99,1
40,PABST 16 OZ 6PK                     ,00,5.99,2
41,PABST 18PK                          ,00,13.99,1
189,PACIFICO 6PK                        ,00,8.89,2
97,PELICAN KIWANDACREAM ALE 6PK        ,00,9.39,1
98,PELICAN TSUNAMI STOUT               ,00,4.69,3
301,pFRIEM PILSNER                      ,00,3.79,2
144,PIKE 5X STOUT 22                    ,00,4.69,1
148,PIKE IPA 6PK                        ,00,8.89,1
150,PIKE KILTLIFTER 6PK                 ,00,8.89,1
145,PIKES MONKS UNCLE TRIPEL 22         ,00,4.69,2
175,PYRAMID OUTBURST IMP IPA 6PK        ,00,7.99,3
174,PYRAMID SEASONAL 22 OZ              ,00,3.79,2
172,PYRAMID SEASONAL 6PK                ,00,7.99,1
173,PYRAMIND APRICOT 6PK                ,00,7.99,1
171,PYRAMIND HEFEWEIZEN 6PK             ,00,7.99,1
36,RED HOOK SEASONAL                   ,00,8.49,1
34,REDHOOK AUDIBLE ALE 6PK             ,00,8.49,2
37,REDHOOK ESB 6PK                     ,00,8.49,1
35,REDHOOK LONGHAMMER IPA 6PK          ,00,8.49,1
264,REUBENS ROBUST PORTER 22            ,00,4.69,3
340,ROGUE DEAD GUY ALE 6PK              ,00,11.19,2
315,SAM ADAMS BOSTON LGR 6PK            ,00,8.99,1
319,SAPPORO CAN                         ,00,3.29,1
262,SCUTTLEBUTT IPA 6PK                 ,00,7.99,1
224,SIERRA  NEVADA SEASONAL 6PK         ,00,7.99,4
226,SIERRA NEV PALE ALE 12PK            ,00,16.99,1
227,SIERRA NEV PALE ALE 6PK             ,00,7.99,1
225,SIERRA NEV TORPEDO 6PK              ,00,7.99,1
229,SIERRA NEVADA NOONER PILSNER        ,00,7.99,1
218,SNOQUALMIE COPPERHEAD PALE          ,00,4.69,4
221,SNOQUALMIE FALLS SEASONAL           ,00,4.69,4
220,SNOQUALMIE STEAM PORTER             ,00,4.69,3
219,SNOQUALMIE WILDCAT IPA 22OZ BTL     ,00,4.69,3
179,STELLA ARTOIS 12PK BTL              ,00,14.99,1
178,STELLA ARTOIS 6PK BTL               ,00,8.49,5
19,STELLA CIDRE 6 PK                   ,00,9.19,3
90,STONE RUINATION IPA 22              ,00,5.59,4
269,TWO BEERS IMMERSION AMBER CANS      ,00,9.49,1
109,UINTA HOP NOSH IPA 6PK CAN          ,00,8.39,2
103,WIDMER HEFEWEIZEN 6PK               ,00,8.99,1
104,WIDMER UPHEAVAL IPA 6PK             ,00,8.99,2
286,WORTHY IMPERIAL IPA 22              ,00,5.19,1
241,10 BARREL APOCALYPSE IPA 22         ,01,3.99,2
242,10 BARREL APOCALYPSE IPA 6PK        ,01,9.39,3
244,10 BARREL BREWING PRAY FOR SNOW WINT,01,9.39,1
252,2 TOWNS CIDER GINJANINJA 6PK        ,01,8.39,6
250,2 TOWNS CRISP APPLE CIDER           ,01,4.69,5
297,21ST AMENDMENT SEASONAL 6PK CAN     ,01,8.99,1
298,21ST AMENDMNT BREW FREE IPA 6PK     ,01,8.99,1
66,ALASKAN AMBER 6PK                   ,01,8.49,4
69,ALASKAN FREERIDE APA 6PK            ,01,7.99,3
74,ALASKAN HOPTHERMIA 4PK              ,01,9.39,4
68,ALASKAN ICY IPA 6PK                 ,01,7.99,3
67,ALASKAN SEASONAL 6PK                ,01,7.99,1
270,AMERICAN BLONDE                     ,01,3.79,4
271,AMERICAN BREWING IPA 22             ,01,3.79,1
272,AMERICAN CABOOSE STOUT 22           ,01,3.79,3
273,AMERICAN FLYING MNKY PALE           ,01,3.79,1
335,ANDERSON VALLEY BRBN BRL STOUT      ,01,9.39,3
309,ANGRY ORCH GREEN APPLE 6PK          ,01,8.99,1
317,ANGRY ORCHARD CRISP APL 6PK         ,01,8.99,2
311,ANGRY ORCHARD GREEN APPLE           ,01,1.89,8
287,ATLAS BLKBRY APPLE CIDER            ,01,6.09,2
277,BALEBREAKER TOPCUTTER IPA           ,01,9.49,5
102,BALLAST PT EVEN KEEL IPA 6PK        ,01,9.99,1
101,BALLAST PT SCULPIN 22               ,01,7.99,1
133,BEAR RACER 5 IPA                    ,01,11.19,2
132,BEAR REPUBLIC BLACK STOUT           ,01,4.69,2
131,BEAR REPUBLIC RACER 5 IPA 22        ,01,4.69,6
215,BECKS 24OZ BTL                      ,01,2.39,2
248,BELLEVUE BREWING 425 PALE           ,01,4.19,2
17,BEST DAMN ROOT BEER 6PK             ,01,10.99,1
75,BITBURGER 4 PK CAN                  ,01,6.99,2
31,BITBURGER 4PK CAN                   ,01,5.59,1
255,BLACK RAVEN ROTATING IPA            ,01,4.69,2
254,BLACK RAVEN TRICKSTER IPA 22        ,01,4.69,5
113,BLUEMOON 12PK                       ,01,16.99,2
112,BLUEMOON 6PK                        ,01,8.99,2
115,BLUEMOON SEASONAL 6PK               ,01,8.99,1
116,BLUEMOON WHITE IPA 6PK              ,01,8.99,1
296,BREAKSIDE WANDERLUST 22             ,01,4.69,1
342,BRIDGEPORT HOP CZAR IPA 6PK         ,01,8.99,1
10,BUD 12PK CAN                        ,01,11.99,1
11,BUD 18PK CAN                        ,01,15.6566666666667,3
20,BUD 25OZ CAN                        ,01,2.19,2
3,BUD 6PK 16 OZ CAN                   ,01,7.49,3
8,BUD 6PK BTL                         ,01,7.49,2
27,BUD LIGHT 18-12 BTL                 ,01,17.99,2
25,BUD LIGHT 24PK                      ,01,23.99,4
13,BUD LIGHT LIME 12PK BTLS            ,01,13.99,1
24,BUD LT 12PK CAN                     ,01,11.99,4
26,BUD LT 18PK CAN                     ,01,15.4605882352941,17
5,BUD LT 6PK 16 OZ CAN                ,01,7.49,5
7,BUD LT 6PK BTL                      ,01,7.49,3
22,BUD LT CHELADA 25 OZ CAN            ,01,3.19,7
14,BUD LT LIME 6PK BTL                 ,01,7.69,1
16,BUD LT PLATINUM 6PK BTL             ,01,7.69,2
79,CASCADE LAKES HOPSMACK 6PK          ,01,8.89,2
30,CHELAN HARD CIDER                   ,01,7.49,1
76,CLAUSTHALER NA 6PK                  ,01,7.04,2
118,COORS 16OZ 6PK CN                   ,01,7.49,1
120,COORS BANQUET 9PK ALUMINUM          ,01,12.49,1
124,Coors Light 24-12 Can               ,01,22.69,2
127,COORS LITE 16 OZ                    ,01,1.39,14
126,COORS LT 12PK BTL                   ,01,11.99,5
111,COORS LT 12PK CAN                   ,01,11.99,6
129,COORS LT 16OZ PK CN                 ,01,7.49,5
123,COORS LT 18PK CAN                   ,01,17.7042857142857,7
125,COORS LT 24OZ                       ,01,2.19,7
122,COORS LT 6PK BTL                    ,01,7.49,3
128,COORS LT 9PK ALUM BTL               ,01,12.49,3
192,CORONA 12PK BTL                     ,01,14.99,1
194,CORONA 24OZ BTL                     ,01,2.79,5
191,CORONA 6PK BTL                      ,01,8.89,5
195,CORONA LT 12PK BTL                  ,01,16.99,1
193,CORONA LT 6PK BTL                   ,01,8.89,4
236,CRABBIES GINGER BEER                ,01,3.79,5
288,D'S WICKED BAKED APPLE CIDER        ,01,8.89,2
289,D'S WICKED GREEN APPLE CIDER        ,01,7.49,3
163,DESCHUTES BLK BUTTE PORTER 6PK      ,01,7.99,4
170,DESCHUTES CHAINBRAKER W IPA         ,01,7.99,2
164,DESCHUTES CHASIN' FRESHIES IPA 22   ,01,6.09,3
160,DESCHUTES FRESH SQUEEZED IPA 6PK    ,01,10.99,4
161,DESCHUTES INVERSION IPA 6PK         ,01,8.21222222222222,9
166,DESCHUTES MIRRORPND PALE 6PK        ,01,8.10111111111111,9
162,DESCHUTES PINEDROP IPA 6PK          ,01,10.99,1
165,DESCHUTES RIVER ALE                 ,01,8.32333333333333,3
169,DESCHUTES SEASONAL 6PK              ,01,8.07333333333333,12
92,DOGFISH HEAD 90MIN IPA 4PK          ,01,11.19,2
249,DOUBLE MTN VAPORIZER                ,01,3.29,1
253,ECLIPTIC ORBITER IPA 22             ,01,4.69,1
204,ELYSIAN IMMORTAL IPA  22OZ NR       ,01,4.39,2
205,ELYSIAN IMPORTAL IPA 6PK            ,01,9.39,8
208,ELYSIAN MENS RM BLACK 22 OZ         ,01,8.39,3
206,ELYSIAN MENS ROOM RED ALE 22 OZ NR  ,01,4.39,2
207,ELYSIAN MENSROOM RED 6PK            ,01,9.39,1
210,ELYSIAN SEASONAL 6PK                ,01,9.39,2
212,ELYSIAN SPACE DUST 6PK              ,01,12.19,11
211,ELYSIAN SPACE DUST IPA              ,01,5.59,4
77,FIRESTONE WALKER UNION JACK         ,01,4.99,3
78,FISH TALE BEYOND PALE               ,01,3.79,1
108,FOSTERS LAGER 25.4 CAN              ,01,2.39,13
257,FREEMONT UNIVERSAL PALE             ,01,4.09,1
258,FREMONT INTERURBAN IPA 22           ,01,4.09,1
259,FREMONT UNIVERSAL PALE 6PK CAN      ,01,9.49,2
247,FT GEORGE VORTEX IPA 4PK CAN        ,01,11.19,1
46,FULL SAIL AMBER 6PK                 ,01,7.99,1
48,FULL SAIL PILSNER 6PK               ,01,8.13285714285714,7
43,FULL SAIL SEASONAL 6PK              ,01,7.99,1
49,FULL SAIL SESSION LAGER 12PK        ,01,12.99,1
294,GIGANTIC IPA 22                     ,01,5.19,1
94,GRATEFUL DEAD AMERICAN BEAUTY IPA   ,01,13.99,1
181,GREAT DIVIDE TITAN IPA 6PK BTL      ,01,9.615,4
234,GUINESS BLONDE 6 PK NR              ,01,8.99,2
233,GUINNESS DRAUGHT 4PK CAN            ,01,8.39,2
293,HARVESTER IPA 22                    ,01,6.09,2
153,HEINEKEN 12PK BTL                   ,01,14.99,3
152,HEINEKEN 6PK BTL                    ,01,8.89,1
180,HOEGAARDEN WHITE 6PK                ,01,9.19,3
280,HOP VALLEY CITRUS MISTRESS 6PK      ,01,9.49,2
279,HOP VALLEY SEASONAL 6PK CAN         ,01,8.99,1
239,HUB SEASONAL 22                     ,01,5.19,7
274,IRON HORSE IRISH DEATH              ,01,4.69,8
184,KONA BIG WAVE GLDN ALE 6PK          ,01,8.99,1
182,KONA CASTAWAY IPA 6PK               ,01,8.99,1
183,KONA LONGBOARD LAGER 6PK            ,01,8.99,2
303,KULSHAN BASTARD KAT IPA 6 PK CAN    ,01,9.39,2
138,LAGUNITAS IPA 12PK                  ,01,17.49,1
136,LAGUNITAS IPA 6PK                   ,01,8.99,2
332,LAURELWOOD WORKHORSE IPA 6PK        ,01,9.39,2
59,LITE 12PK 16FZ                      ,01,11.99,7
53,LITE 16OZ 6PK                       ,01,7.49,1
56,LITE 16oz ALUM 9PK                  ,01,12.49,1
9,MICHELOB ULTRA 6/12 OZ NR           ,01,7.69,2
61,MICKEYS MALT LIQ 6PK                ,01,6.49,3
85,MIKES HARD LEMONADE 6PK             ,01,8.99,3
81,MIKES HARDER BLK CHRY 16            ,01,1.79,3
82,MIKES HARDER CRANBRY 16             ,01,1.79,15
88,MIKES HARDER LEMONADE 16            ,01,1.79,11
86,MIKES HARDER STRBRY 16              ,01,1.79,2
89,MIKES HRDR LTD ED 16 CAN            ,01,1.79,7
83,MIKES MANGO PUNCH 6-11.2OZ BTL      ,01,8.99,1
51,MILLER HIGH LIFE 16 OZ 6PK          ,01,5.99,1
52,MILLER LITE 24OZ CAN                ,01,2.19,3
197,MODELO ESPECIAL 18PK CAN            ,01,20.99,1
199,MODELO ESPECIAL 24 CAN              ,01,2.39,3
201,NEGROMODELO 6PK                     ,01,8.89,4
155,NEW BELGIUM FAT TIRE AMBER 12-12 BTL,01,16.99,4
154,NEW BELGIUM FAT TIRE AMBER 6PK      ,01,8.99,2
159,NEW BELGIUM RAMPANT 6PK             ,01,7.99,3
157,NEW BELGIUM RANGER IPA 6PK          ,01,8.65666666666667,3
158,NEW BELGIUM SEASONAL 6PK            ,01,8.59,5
327,NINKASI DOMINATION 22OZ             ,01,3.99,7
329,NINKASI TTL DOM IPA 6PK             ,01,9.39,4
100,NO-LI BORN AND RAISED IPA 22        ,01,4.69,3
143,NORTH COAST PRANQSTER 4PK           ,01,8.89,1
337,NOT YOUR FATHERS ROOT BEER 6PK      ,01,11.99,1
238,ODIN THORS EQUINOX 22               ,01,6.09,3
6,ODOULS 6PK BTL                      ,01,6.49,3
142,OLD RASPUTIN STOUT 4/12 OZ          ,01,8.39,1
284,ORLISON IPL 6PK CAN                 ,01,8.89,1
41,PABST 18PK                          ,01,13.99,1
189,PACIFICO 6PK                        ,01,8.89,3
97,PELICAN KIWANDACREAM ALE 6PK        ,01,9.39,2
301,pFRIEM PILSNER                      ,01,3.79,1
144,PIKE 5X STOUT 22                    ,01,4.69,2
148,PIKE IPA 6PK                        ,01,7.99,8
150,PIKE KILTLIFTER 6PK                 ,01,7.99,1
145,PIKES MONKS UNCLE TRIPEL 22         ,01,4.69,7
176,PYRAMID OUTBURST IMP IPA 12PK       ,01,16.99,1
175,PYRAMID OUTBURST IMP IPA 6PK        ,01,8.65666666666667,6
174,PYRAMID SEASONAL 22 OZ              ,01,3.79,2
172,PYRAMID SEASONAL 6PK                ,01,8.65666666666667,3
173,PYRAMIND APRICOT 6PK                ,01,8.99,2
171,PYRAMIND HEFEWEIZEN 6PK             ,01,8.49,2
139,RAINIER 16OZ 6PK CANS               ,01,5.99,6
140,RAINIER 18PK CANS                   ,01,13.99,1
245,RAMBLING ROUTE CIDER 4PK            ,01,8.39,1
36,RED HOOK SEASONAL                   ,01,8.99,3
32,REDHOOK ESB 12/12 OZ BTL            ,01,15.99,4
37,REDHOOK ESB 6PK                     ,01,8.49,1
35,REDHOOK LONGHAMMER IPA 6PK          ,01,8.49,5
33,REDHOOK VTY 12PK                    ,01,15.99,3
265,REUBENS CRIKEY IPA 22               ,01,4.69,5
264,REUBENS ROBUST PORTER 22            ,01,4.69,2
340,ROGUE DEAD GUY ALE 6PK              ,01,9.99,1
110,ROLLING ROCK 6PK 16 CAN             ,01,5.79,1
315,SAM ADAMS BOSTON LGR 6PK            ,01,8.99,3
316,SAM ADAMS SEASONAL 6PK              ,01,8.99,2
319,SAPPORO CAN                         ,01,3.29,2
263,SCUTTLEBUTT SEASONAL 6PK BTL        ,01,7.99,4
12,SHOCK TOP 6PK                       ,01,8.49,2
224,SIERRA  NEVADA SEASONAL 6PK         ,01,8.65666666666667,4
226,SIERRA NEV PALE ALE 12PK            ,01,16.99,5
227,SIERRA NEV PALE ALE 6PK             ,01,8.24,4
225,SIERRA NEV TORPEDO 6PK              ,01,8.49,2
228,SIERRA NEVADA HOP HUNTER IPA 6PK    ,01,8.49,2
229,SIERRA NEVADA NOONER PILSNER        ,01,7.99,1
223,SIERRA NEVADA VTY 12PK              ,01,16.99,3
202,SILVER CITY SEASONAL                ,01,8.39,3
218,SNOQUALMIE COPPERHEAD PALE          ,01,4.69,11
221,SNOQUALMIE FALLS SEASONAL           ,01,4.69,5
222,SNOQUALMIE LIMITED RELEASE 22       ,01,6.09,3
220,SNOQUALMIE STEAM PORTER             ,01,4.69,1
219,SNOQUALMIE WILDCAT IPA 22OZ BTL     ,01,4.69,11
179,STELLA ARTOIS 12PK BTL              ,01,14.99,4
178,STELLA ARTOIS 6PK BTL               ,01,8.84,2
19,STELLA CIDRE 6 PK                   ,01,9.19,3
91,STONE ARROGANT BASTARD 22           ,01,4.69,3
90,STONE RUINATION IPA 22              ,01,5.59,2
321,STRONGBOW GOLD CIDER 6PK            ,01,8.99,3
109,UINTA HOP NOSH IPA 6PK CAN          ,01,8.89,2
63,WEINHARDS PRIVATE RESERVE 6PK       ,01,6.49,1
103,WIDMER HEFEWEIZEN 6PK               ,01,8.99,2
106,WIDMER OMISSION PALE 6PK            ,01,9.19,4
104,WIDMER UPHEAVAL IPA 6PK             ,01,8.99,1
1,WOODCHUCK GUMPTION 6PK              ,01,8.99,2
286,WORTHY IMPERIAL IPA 22              ,01,5.19,1
241,10 BARREL APOCALYPSE IPA 22         ,02,3.99,2
242,10 BARREL APOCALYPSE IPA 6PK        ,02,9.39,5
244,10 BARREL BREWING PRAY FOR SNOW WINT,02,9.39,1
240,10 BARREL SEASONAL 22               ,02,7.49,2
250,2 TOWNS CRISP APPLE CIDER           ,02,4.69,6
297,21ST AMENDMENT SEASONAL 6PK CAN     ,02,8.99,2
298,21ST AMENDMNT BREW FREE IPA 6PK     ,02,8.99,2
66,ALASKAN AMBER 6PK                   ,02,8.32333333333333,3
69,ALASKAN FREERIDE APA 6PK            ,02,8.99,2
68,ALASKAN ICY IPA 6PK                 ,02,8.49,2
270,AMERICAN BLONDE                     ,02,3.79,4
271,AMERICAN BREWING IPA 22             ,02,3.79,4
272,AMERICAN CABOOSE STOUT 22           ,02,3.79,4
273,AMERICAN FLYING MNKY PALE           ,02,3.79,1
335,ANDERSON VALLEY BRBN BRL STOUT      ,02,9.39,2
318,ANGRY ORCH GINGER APL 6PK           ,02,8.99,1
309,ANGRY ORCH GREEN APPLE 6PK          ,02,8.49,2
308,ANGRY ORCHARD CRISP APL 16 CAN      ,02,1.89,3
317,ANGRY ORCHARD CRISP APL 6PK         ,02,8.32333333333333,6
311,ANGRY ORCHARD GREEN APPLE           ,02,1.89,1
305,ANGRY ORCHARD ICEMAN 750ML          ,02,15.49,1
304,ANGRY ORCHARD VTY 12PK              ,02,16.99,1
231,ANTHEM CHERRY 4 PK                  ,02,10.29,1
287,ATLAS BLKBRY APPLE CIDER            ,02,6.09,1
277,BALEBREAKER TOPCUTTER IPA           ,02,9.49,1
102,BALLAST PT EVEN KEEL IPA 6PK        ,02,9.99,2
101,BALLAST PT SCULPIN 22               ,02,7.99,2
132,BEAR REPUBLIC BLACK STOUT           ,02,4.69,1
131,BEAR REPUBLIC RACER 5 IPA 22        ,02,4.69,2
215,BECKS 24OZ BTL                      ,02,2.39,2
331,BEERS OF MEXICO VTY 12PK            ,02,15.99,1
248,BELLEVUE BREWING 425 PALE           ,02,4.19,1
75,BITBURGER 4 PK CAN                  ,02,6.99,2
31,BITBURGER 4PK CAN                   ,02,4.99,4
255,BLACK RAVEN ROTATING IPA            ,02,4.69,2
254,BLACK RAVEN TRICKSTER IPA 22        ,02,4.69,5
2,BLUE MOUNTAIN DRY CIDER 4PK         ,02,10.29,1
113,BLUEMOON 12PK                       ,02,16.99,4
112,BLUEMOON 6PK                        ,02,8.99,6
116,BLUEMOON WHITE IPA 6PK              ,02,8.99,2
296,BREAKSIDE WANDERLUST 22             ,02,4.69,5
10,BUD 12PK CAN                        ,02,11.99,1
11,BUD 18PK CAN                        ,02,17.99,2
20,BUD 25OZ CAN                        ,02,2.19,4
3,BUD 6PK 16 OZ CAN                   ,02,7.49,4
8,BUD 6PK BTL                         ,02,7.49,1
25,BUD LIGHT 24PK                      ,02,23.99,1
13,BUD LIGHT LIME 12PK BTLS            ,02,13.99,1
24,BUD LT 12PK CAN                     ,02,11.99,5
26,BUD LT 18PK CAN                     ,02,17.3233333333333,9
21,BUD LT 25 OZ CAN                    ,02,2.19,2
5,BUD LT 6PK 16 OZ CAN                ,02,7.49,4
7,BUD LT 6PK BTL                      ,02,7.49,3
22,BUD LT CHELADA 25 OZ CAN            ,02,3.19,2
14,BUD LT LIME 6PK BTL                 ,02,7.69,2
15,BUD LT PLATINUM 12PK BTL            ,02,13.99,2
16,BUD LT PLATINUM 6PK BTL             ,02,7.69,2
79,CASCADE LAKES HOPSMACK 6PK          ,02,8.89,5
80,CASCADE LAKES PDLBOARD PORTER 6PK   ,02,8.89,1
30,CHELAN HARD CIDER                   ,02,7.49,1
76,CLAUSTHALER NA 6PK                  ,02,7.39,4
326,CONEY ISL HARD ROOT BEER 6PK        ,02,11.99,5
119,COORS BANQUET 18/12 CAN             ,02,14.99,1
120,COORS BANQUET 9PK ALUMINUM          ,02,12.49,1
121,COORS BANQUET STUBBY 6PK            ,02,7.49,2
124,Coors Light 24-12 Can               ,02,22.69,2
127,COORS LITE 16 OZ                    ,02,1.39,9
126,COORS LT 12PK BTL                   ,02,11.99,7
111,COORS LT 12PK CAN                   ,02,11.99,8
129,COORS LT 16OZ PK CN                 ,02,7.49,4
123,COORS LT 18PK CAN                   ,02,15.6566666666667,9
125,COORS LT 24OZ                       ,02,2.19,12
122,COORS LT 6PK BTL                    ,02,7.49,3
128,COORS LT 9PK ALUM BTL               ,02,12.49,2
192,CORONA 12PK BTL                     ,02,15.3233333333333,6
194,CORONA 24OZ BTL                     ,02,2.79,10
191,CORONA 6PK BTL                      ,02,8.89,4
195,CORONA LT 12PK BTL                  ,02,14.99,3
193,CORONA LT 6PK BTL                   ,02,8.89,4
236,CRABBIES GINGER BEER                ,02,3.79,5
237,CRABBIES SPICED ORANGE              ,02,3.79,2
163,DESCHUTES BLK BUTTE PORTER 6PK      ,02,8.99,1
170,DESCHUTES CHAINBRAKER W IPA         ,02,7.99,1
164,DESCHUTES CHASIN' FRESHIES IPA 22   ,02,6.09,3
160,DESCHUTES FRESH SQUEEZED IPA 6PK    ,02,10.99,2
161,DESCHUTES INVERSION IPA 6PK         ,02,8.365,8
166,DESCHUTES MIRRORPND PALE 6PK        ,02,8.49,8
165,DESCHUTES RIVER ALE                 ,02,7.99,1
169,DESCHUTES SEASONAL 6PK              ,02,7.99,2
92,DOGFISH HEAD 90MIN IPA 4PK          ,02,11.19,6
253,ECLIPTIC ORBITER IPA 22             ,02,4.69,1
204,ELYSIAN IMMORTAL IPA  22OZ NR       ,02,4.39,2
205,ELYSIAN IMPORTAL IPA 6PK            ,02,8.0775,16
214,ELYSIAN MANIC IPA SERIES 22         ,02,5.59,1
206,ELYSIAN MENS ROOM RED ALE 22 OZ NR  ,02,4.39,1
207,ELYSIAN MENSROOM RED 6PK            ,02,8.55,5
210,ELYSIAN SEASONAL 6PK                ,02,8.76777777777778,9
212,ELYSIAN SPACE DUST 6PK              ,02,12.19,11
211,ELYSIAN SPACE DUST IPA              ,02,5.59,4
77,FIRESTONE WALKER UNION JACK         ,02,4.99,1
78,FISH TALE BEYOND PALE               ,02,4.69,1
108,FOSTERS LAGER 25.4 CAN              ,02,2.39,10
257,FREEMONT UNIVERSAL PALE             ,02,4.09,1
258,FREMONT INTERURBAN IPA 22           ,02,4.09,2
260,FREMONT IPA 6PK CAN                 ,02,9.49,1
259,FREMONT UNIVERSAL PALE 6PK CAN      ,02,9.49,1
46,FULL SAIL AMBER 6PK                 ,02,8.365,4
45,FULL SAIL IPA 6PK                   ,02,7.99,1
48,FULL SAIL PILSNER 6PK               ,02,8.24,2
